Sales Channel,OrderDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Discount Applied,Revenue,recency,frequency,monetary,R,F,M,rfm_group,rfm_total,segment
In-Store,2018-05-31,6,15,259,12,0.075,4073.43,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2018-05-31,14,20,196,27,0.075,886.41,9,167,439147.97,2,4,3,243,9,Cant Lose Group
Distributor,2018-05-31,21,16,213,16,0.05,905.5,3,135,402938.75,5,1,2,512,8,Potential Loyalists
Wholesale,2018-05-31,28,48,107,23,0.075,5486.76,10,172,424970.73,2,5,3,253,10,Cant Lose Group
Distributor,2018-05-31,22,49,111,26,0.1,1312.13,7,152,354161.33,2,2,1,221,5,Need Attention
Online,2018-05-31,12,21,285,1,0.05,2700.1,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-05-31,10,14,6,5,0.15,1908.16,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2018-05-31,6,9,280,46,0.05,998.63,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2018-06-01,4,9,299,47,0.3,2017.24,8,171,500166.4,2,4,5,245,11,Cant Lose Group
In-Store,2018-06-01,10,33,261,13,0.05,5164.9,4,156,495444.29,4,2,5,425,11,Champions
Distributor,2018-06-01,23,21,17,38,0.1,337.68,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-01,10,21,152,40,0.15,12869.7,3,164,479383.05,5,4,5,545,14,Champions
In-Store,2018-06-01,4,36,317,39,0.05,1788.23,4,156,441225.98,4,2,3,423,9,At Risk Customer
In-Store,2018-06-01,8,17,291,32,0.15,0.0,6,175,534027.38,3,5,5,355,13,Champions
In-Store,2018-06-01,9,32,138,6,0.15,1179.87,2,173,435206.07,5,5,3,553,13,Potential Loyalists
In-Store,2018-06-01,5,11,354,25,0.05,1067.71,6,178,487614.24,3,5,5,355,13,Champions
In-Store,2018-06-01,9,10,320,6,0.075,725.11,15,158,435122.22000000003,1,3,3,133,7,Need Attention
In-Store,2018-06-01,8,30,21,3,0.1,1969.8,4,159,442372.43,4,3,4,434,11,Potential Loyalists
In-Store,2018-06-01,5,5,349,20,0.1,3571.9,30,159,445632.75,1,3,4,134,8,Need Attention
Online,2018-06-01,14,23,134,24,0.05,4581.19,12,164,449782.3,1,4,4,144,9,Cant Lose Group
Wholesale,2018-06-01,25,46,193,33,0.4,-1549.04,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2018-06-02,2,14,282,1,0.075,1839.42,5,157,381450.02,3,3,2,332,8,At Risk Customer
In-Store,2018-06-02,7,40,20,35,0.2,238.79,9,150,406016.91,2,1,2,212,5,Need Attention
Distributor,2018-06-02,24,19,218,15,0.4,945.5,3,165,443231.83,5,4,4,544,13,Potential Loyalists
In-Store,2018-06-02,4,15,173,13,0.15,96.48,4,142,441668.35,4,1,4,414,9,Potential Loyalists
Online,2018-06-02,18,46,110,24,0.1,426.79,4,157,378414.74,4,3,2,432,9,At Risk Customer
In-Store,2018-06-02,7,32,229,46,0.075,761.99,2,173,435206.07,5,5,3,553,13,Potential Loyalists
In-Store,2018-06-02,9,32,238,36,0.05,4479.89,2,173,435206.07,5,5,3,553,13,Potential Loyalists
Distributor,2018-06-02,20,22,97,37,0.05,9681.77,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-02,8,5,103,32,0.1,1160.44,30,159,445632.75,1,3,4,134,8,Need Attention
In-Store,2018-06-03,8,29,305,23,0.075,20205.69,2,179,531770.74,5,5,5,555,15,Champions
Online,2018-06-03,13,35,303,14,0.2,2810.25,10,145,345844.59,2,1,1,211,4,Need Attention
Online,2018-06-03,19,46,217,7,0.1,4350.65,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2018-06-03,17,42,362,46,0.05,1946.75,2,161,427159.63,5,3,3,533,11,Potential Loyalists
Wholesale,2018-06-03,26,2,335,40,0.075,3656.69,9,135,327409.14,2,1,1,211,4,Need Attention
Distributor,2018-06-03,22,28,84,38,0.075,2027.42,8,145,348495.46,2,1,1,211,4,Need Attention
In-Store,2018-06-03,7,46,256,1,0.075,121.5,4,157,378414.74,4,3,2,432,9,At Risk Customer
Online,2018-06-03,12,22,360,17,0.05,1996.6,4,140,401721.77,4,1,2,412,7,Potential Loyalists
In-Store,2018-06-03,4,34,90,40,0.2,5036.26,15,176,496418.7,1,5,5,155,11,Cant Lose Group
In-Store,2018-06-03,9,26,196,25,0.05,2355.18,11,153,375766.72,1,2,2,122,5,Need Attention
